"Species";"main_diet";"foraging_water_depth";"foraging_location";"fasting_strategy";"terrestriality";"female_sexual_maturity";"weaning";"gestation";"inter_litter";"breeding_site";"social_group_mean";"social_behavior";"adult_weight_max";"dimorphism";"IUCN_status";"IUCN_num";"IUCN_50";"IUCN_100"
"Cystophora_cristata";"D";"C";"E";1;1;3;0,131147541;11,5;12;"A";3;"C";326;1;"VU";2;0,05;0,1
"Delphinapterus_leucas";"D";"C";"E";0;0;10,5;24;14,25;36;"B";7,25;"A";1450;1;"LC";0;5E-05;0,0001
"Delphinus_capensis";"D";"NA";"A";0;0;"NA";"NA";"NA";"NA";"C";25;"A";235;0;"DD";"NA";"NA";"NA"
"Delphinus_delphis";"E";"D";"E";0;0;7;16,5;10,75;25,2;"C";76;"A";200;0;"LC";0;5E-05;0,0001
"Dugong_dugon";"F";"C";"A";0;0;6;18;13;57;"B";1,5;"A";1016;0;"VU";2;0,05;0,1
"Enhydra_lutris";"B";"C";"A";0;1;3;6;5;12;"B";6,5;"A";40,25;2;"EN";3;0,42;0,667
"Erignathus_barbatus";"B";"C";"A";0;1;5;0,75;"NA";20;"A";1,5;"C";311,5;1;"LC";0;5E-05;0,0001
"Eschrichtius_robustus";"B";"C";"A";1;0;8;6,5;13,5;24;"B";"NA";"C";45000;0;"LC";0;5E-05;0,0001
"Eubalaena_australis";"A";"A";"F";1;0;8;12;11;36;"B";"NA";"C";80000;0;"LC";0;5E-05;0,0001
"Eubalaena_glacialis";"A";"A";"F";1;0;8;12;12;36;"B";1,5;"C";90000;0;"EN";3;0,42;0,667
"Eubalaena_japonica";"A";"A";"A";1;0;8;12;11;39;"B";1,5;"C";90000;0;"EN";3;0,42;0,667
"Eumetopias_jubatus";"D";"D";"F";1;1;5;10;9;12;"A";1,5;"C";636,5;2;"NT";1;0,004;0,01
"Feresa_attenuata";"D";"NA";"D";0;0;"NA";"NA";"NA";"NA";"C";31;"A";225;0;"LC";0;5E-05;0,0001
"Globicephala_macrorhynchus";"E";"C";"A";0;0;9;36;15,5;36;"C";55;"A";3600;2;"LC";0;5E-05;0,0001
"Globicephala_melas";"E";"C";"A";0;0;8;36;13;"NA";"C";55;"A";1800;2;"LC";0;5E-05;0,0001
"Grampus_griseus";"E";"B";"C";0;0;9;"NA";13,5;28,8;"C";30;"A";500;1;"LC";0;5E-05;0,0001
"Halichoerus_grypus";"D";"C";"A";1;1;4,5;0,590163934;11,5;12;"A";3;"A";248;2;"LC";0;5E-05;0,0001
"Histriophoca_fasciata";"D";"D";"F";0;1;3,5;12;11;12;"A";1,5;"C";148;1;"LC";0;5E-05;0,0001
"Hydrurga_leptonyx";"C";"A";"A";1;1;4,5;1;9;12;"A";1,5;"C";400;1;"LC";0;5E-05;0,0001
"Hyperoodon_ampullatus";"E";"C";"A";0;0;11;"NA";12;12;"C";3;"A";7500;0;"DD";"NA";"NA";"NA"
"Hyperoodon_planifrons";"E";"C";"A";0;0;11;"NA";12;12;"C";5,5;"A";8000;0;"LC";0;5E-05;0,0001
"Indopacetus_pacificus";"E";"C";"C";0;0;9;"NA";"NA";12;"C";17,5;"A";8100;0;"DD";"NA";"NA";"NA"
"Kogia_breviceps";"E";"D";"F";0;0;3,75;"NA";11;12;"C";3,5;"C";440;0;"DD";"NA";"NA";"NA"
"Kogia_sima";"E";"D";"F";0;0;"NA";"NA";10,5;"NA";"C";5,5;"A";272;0;"DD";"NA";"NA";"NA"
"Lagenodelphis_hosei";"E";"B";"A";0;0;6,5;"NA";12,5;24;"C";394,9;"A";210;0;"LC";0;5E-05;0,0001
"Lagenorhynchus_acutus";"D";"D";"F";0;0;9;18;11;"NA";"C";35;"A";208,5;1;"LC";0;5E-05;0,0001
"Lagenorhynchus_albirostris";"D";"NA";"A";0;0;8,7;"NA";11;"NA";"C";5,25;"C";350;0;"LC";0;5E-05;0,0001
